PCE,CPI,PMI,Interest_Rate
2.57,2.9,54.1,0.25
2.51,2.9,52.4,0.25
2.3,2.7,53.4,0.25
2,2.3,54.8,0.25
1.58,1.7,53.5,0.25
1.55,1.7,49.7,0.25
1.41,1.4,49.8,0.25
1.51,1.7,49.6,0.25
1.68,2,51.5,0.25
1.98,2.2,51.7,0.25
1.7,1.8,49.5,0.25
1.62,1.7,50.2,0.25
1.47,1.6,53.1,0.25
1.6,2,54.2,0.25
1.28,1.5,51.3,0.25
1.04,1.1,50.7,0.25
1.23,1.4,49,0.25
1.51,1.8,50.9,0.25
1.6,2,55.4,0.25
1.4,1.5,55.7,0.25
1.14,1.2,56.2,0.25
0.98,1,56.4,0.25
1.2,1.2,57.3,0.25
1.39,1.5,56.5,0.25
1.41,1.6,51.3,0.25
1.09,1.1,53.2,0.25
1.39,1.5,53.7,0.25
1.67,2,54.9,0.25
1.77,2.1,55.4,0.25
1.65,2.1,55.3,0.25
1.67,2,57.1,0.25
1.51,1.7,59,0.25
1.5,1.7,56.6,0.25
1.33,1.7,59,0.25
1.09,1.3,58.7,0.25
0.73,0.8,55.1,0.25
0.04,-0.1,53.5,0.25
0.17,0,52.9,0.25
0.2,-0.1,51.5,0.25
0.11,-0.2,51.5,0.25
0.19,0,52.8,0.25
0.27,0.1,53.5,0.25
0.22,0.2,52.7,0.25
0.24,0.2,51.1,0.25
0.07,0,50.2,0.25
0.1,0.2,50.1,0.25
0.25,0.5,48.6,0.25
0.35,0.7,48.2,0.25
0.87,1.4,48.2,0.5
0.64,1,49.5,0.5
0.69,0.9,51.8,0.5
0.93,1.1,50.8,0.5
0.85,1,51.3,0.5
0.83,1,53.2,0.5
0.76,0.8,52.6,0.5
0.89,1.1,49.4,0.5
1.22,1.5,51.5,0.5
1.43,1.6,51.9,0.5
1.4,1.7,53.2,0.5
1.66,2.1,54.5,0.5
2.01,2.5,56,0.75
2.2,2.7,57.7,0.75
1.91,2.4,57.2,0.75
1.77,2.2,54.8,1
1.56,1.9,54.9,1
1.47,1.6,57.8,1
1.49,1.7,56.3,1.25
1.57,1.9,58.8,1.25
1.76,2.2,60.8,1.25
1.68,2,58.7,1.25
1.79,2.2,58.2,1.25
1.77,2.1,59.7,1.25
1.76,2.1,59.1,1.5
1.84,2.2,60.8,1.5
2,2.4,59.3,1.5
2.05,2.5,57.3,1.75
2.27,2.8,58.7,1.75
2.27,2.9,60.2,1.75
2.34,2.9,58.1,2
2.18,2.7,61.3,2
2.01,2.3,59.8,2
2.05,2.5,57.7,2.25
1.94,2.2,59.3,2.25
1.86,1.9,54.1,2.25
1.5,1.6,56.6,2.5
1.43,1.5,54.2,2.5
1.51,1.9,55.3,2.5
1.58,2,52.8,2.5
1.46,1.8,52.1,2.5
1.41,1.6,51.7,2.5
1.44,1.8,51.2,2.5
1.42,1.7,49.1,2.25
1.3,1.7,47.8,2.25
1.33,1.8,48.3,2
1.33,2.1,48.1,1.75
1.54,2.3,47.8,1.75
1.7,2.5,50.9,1.75
1.64,2.3,50.1,1.75
1.15,1.5,49.1,1.75
0.41,0.3,41.5,0.25
0.45,0.1,43.1,0.25
0.71,0.6,52.6,0.25
0.9,1,54.2,0.25
1.17,1.3,56,0.25
1.25,1.4,55.4,0.25
1.12,1.2,59.3,0.25
1.15,1.2,57.5,0.25
1.37,1.4,60.7,0.25
1.62,1.4,58.7,0.25
1.89,1.7,60.8,0.25
2.71,2.6,64.7,0.25
3.72,4.2,60.7,0.25
4.16,5,61.2,0.25
4.37,5.4,60.6,0.25
4.53,5.4,59.5,0.25
4.64,5.3,59.9,0.25
4.81,5.4,61.1,0.25
5.41,6.2,60.8,0.25
5.99,6.8,61.1,0.25
6.18,7,58.7,0.25
6.3,7.5,57.6,0.25
6.55,7.9,58.6,0.25
6.89,8.5,57.1,0.25
6.62,8.3,55.4,0.5
6.69,8.6,56.1,0.5
7.12,9.1,53,1
6.62,8.5,52.8,1.75
6.52,8.3,52.8,2.5
6.56,8.2,50.9,2.5
6.35,7.7,49,3.25
5.93,7.1,49,3.25
5.44,6.5,46.7,4
5.48,6.4,47.4,4.5
5.19,6,47.7,4.5
4.44,5,47.8,4.75
4.45,4.9,47,5
3.96,4,46.6,5
3.2,3,46.4,5.25
3.31,3.2,46.5,5.25
3.35,3.7,47.6,5.5
3.37,3.7,48.6,5.5
2.95,3.2,46.9,5.5
2.7,3.1,46.6,5.5
2.62,3.4,47.1,5.5
2.46,3.1,49.1,5.5
2.48,3.2,47.8,5.5
2.7,3.5,50.3,5.5
2.65,3.4,49.2,5.5
