Australia,Canada,France,Germany,Italy,Japan,Korea,Mexico,Spain,Turkey,United Kingdom,United States,Major four European countries,G7,G20,Brazil,China (People’s Republic of),India,Indonesia,South Africa,Major five Asia economies,NAFTA
99.35,99.56,99.89,99.87,99.22,99.92,98.4,101.82,98.27,101.11,98.12,99.73,99.34,99.63,99.79,100.58,99.43,99.82,101.03,100.24,99.66,99.94
99.41,99.56,99.86,99.86,98.87,99.94,98.51,101.88,97.87,101.11,98.13,99.88,99.26,99.68,99.81,100.65,99.47,99.63,100.88,100.3,99.64,100.07
99.5,99.54,99.84,99.82,98.54,99.93,98.65,101.87,97.42,101.05,98.16,99.94,99.18,99.68,99.81,100.67,99.52,99.47,100.74,100.32,99.63,100.12
99.64,99.49,99.81,99.71,98.21,99.89,98.79,101.8,96.94,100.87,98.2,99.91,99.08,99.63,99.77,100.61,99.58,99.31,100.66,100.29,99.62,100.08
99.79,99.41,99.73,99.55,97.94,99.8,98.88,101.68,96.46,100.66,98.27,99.82,98.97,99.53,99.72,100.52,99.66,99.18,100.65,100.26,99.62,99.99
99.91,99.32,99.59,99.33,97.73,99.69,98.92,101.53,96,100.44,98.4,99.7,98.85,99.41,99.66,100.43,99.74,99.07,100.71,100.24,99.63,99.87
99.99,99.24,99.42,99.11,97.61,99.57,98.92,101.4,95.57,100.27,98.59,99.61,98.75,99.32,99.62,100.39,99.83,98.96,100.82,100.24,99.64,99.77
100.01,99.19,99.23,98.93,97.53,99.46,98.91,101.35,95.2,100.13,98.81,99.58,98.68,99.26,99.6,100.4,99.92,98.87,100.95,100.26,99.66,99.73
99.99,99.17,99.03,98.81,97.48,99.38,98.91,101.41,94.96,100.04,99.04,99.61,98.64,99.25,99.61,100.43,100.01,98.79,101.12,100.29,99.69,99.76
99.94,99.17,98.86,98.79,97.47,99.33,98.92,101.61,94.85,99.98,99.25,99.68,98.64,99.28,99.66,100.45,100.13,98.72,101.3,100.33,99.74,99.85
99.86,99.2,98.72,98.86,97.49,99.34,98.96,101.9,94.84,99.99,99.44,99.78,98.68,99.34,99.73,100.44,100.29,98.64,101.46,100.38,99.82,99.96
99.78,99.26,98.61,99,97.55,99.43,99.04,102.2,94.93,100.07,99.62,99.9,98.76,99.44,99.83,100.38,100.46,98.57,101.58,100.43,99.92,100.1
99.71,99.33,98.53,99.18,97.63,99.58,99.15,102.34,95.11,100.27,99.82,100.05,98.86,99.57,99.93,100.27,100.62,98.49,101.68,100.47,100.02,100.23
99.67,99.39,98.47,99.36,97.74,99.8,99.28,102.31,95.35,100.56,100.04,100.19,98.98,99.71,100.03,100.12,100.76,98.41,101.74,100.51,100.12,100.36
99.67,99.43,98.44,99.51,97.86,100.05,99.45,102.13,95.63,100.84,100.29,100.32,99.1,99.85,100.12,99.93,100.88,98.33,101.74,100.54,100.21,100.44
99.69,99.46,98.43,99.65,98.03,100.31,99.61,101.78,95.96,101.02,100.56,100.43,99.24,99.99,100.19,99.73,100.98,98.24,101.63,100.58,100.29,100.5
99.72,99.53,98.46,99.79,98.24,100.56,99.73,101.36,96.34,101.09,100.83,100.55,99.4,100.14,100.25,99.53,101.08,98.16,101.39,100.6,100.35,100.56
99.75,99.63,98.56,99.96,98.5,100.77,99.79,101,96.75,101.07,101.09,100.64,99.59,100.28,100.3,99.33,101.17,98.1,101.03,100.61,100.39,100.6
99.81,99.76,98.7,100.15,98.76,100.95,99.79,100.76,97.2,100.92,101.35,100.69,99.8,100.4,100.35,99.16,101.26,98.04,100.57,100.61,100.42,100.63
99.92,99.91,98.86,100.34,99.02,101.12,99.74,100.59,97.66,100.73,101.58,100.72,100.01,100.52,100.38,99.06,101.32,98.02,100.09,100.58,100.43,100.65
100.04,100.04,99,100.52,99.27,101.27,99.67,100.45,98.13,100.5,101.76,100.73,100.19,100.61,100.4,99.01,101.33,98.03,99.67,100.54,100.42,100.65
100.13,100.14,99.09,100.67,99.47,101.39,99.61,100.34,98.57,100.19,101.88,100.74,100.33,100.68,100.41,98.95,101.3,98.08,99.35,100.48,100.41,100.65
100.15,100.18,99.13,100.78,99.64,101.47,99.57,100.2,98.98,99.82,101.98,100.74,100.44,100.73,100.41,98.89,101.25,98.17,99.16,100.43,100.39,100.65
100.07,100.2,99.14,100.84,99.78,101.47,99.57,100.05,99.38,99.48,102.07,100.74,100.51,100.75,100.39,98.8,101.15,98.29,99.09,100.4,100.36,100.63
99.93,100.21,99.12,100.86,99.91,101.39,99.59,99.89,99.74,99.27,102.17,100.72,100.56,100.75,100.35,98.68,101.01,98.43,99.12,100.38,100.32,100.6
99.77,100.26,99.08,100.83,100.04,101.24,99.6,99.82,100.08,99.31,102.25,100.74,100.59,100.75,100.33,98.55,100.86,98.6,99.24,100.38,100.26,100.61
99.63,100.32,99.03,100.74,100.15,101.03,99.6,99.87,100.39,99.55,102.31,100.79,100.58,100.74,100.31,98.43,100.71,98.78,99.39,100.41,100.2,100.66
99.55,100.39,98.95,100.6,100.21,100.78,99.57,99.97,100.67,99.9,102.34,100.85,100.54,100.72,100.3,98.32,100.57,98.97,99.54,100.47,100.14,100.72
99.54,100.47,98.83,100.42,100.19,100.52,99.54,100.09,100.94,100.21,102.3,100.9,100.44,100.68,100.28,98.23,100.45,99.17,99.68,100.57,100.09,100.78
99.61,100.54,98.71,100.22,100.08,100.32,99.52,100.19,101.2,100.43,102.21,100.93,100.3,100.63,100.26,98.17,100.36,99.36,99.79,100.69,100.06,100.83
99.73,100.58,98.62,100.01,99.91,100.17,99.53,100.33,101.45,100.55,102.08,100.95,100.14,100.56,100.25,98.15,100.3,99.54,99.87,100.82,100.05,100.86
99.9,100.59,98.58,99.81,99.73,100.07,99.58,100.47,101.72,100.64,101.92,100.95,99.99,100.5,100.24,98.12,100.25,99.7,99.93,100.95,100.05,100.87
100.08,100.54,98.59,99.66,99.59,100.01,99.69,100.61,102,100.71,101.76,100.93,99.88,100.45,100.23,98.07,100.22,99.85,99.96,101.04,100.07,100.87
100.27,100.45,98.66,99.57,99.51,99.99,99.84,100.64,102.28,100.75,101.6,100.91,99.81,100.41,100.22,97.95,100.21,99.97,99.98,101.09,100.09,100.85
100.44,100.32,98.79,99.55,99.51,100.01,100.02,100.52,102.57,100.73,101.46,100.86,99.81,100.38,100.21,97.76,100.22,100.08,99.99,101.08,100.14,100.78
100.56,100.16,98.95,99.59,99.6,100.05,100.19,100.36,102.86,100.67,101.36,100.79,99.86,100.36,100.21,97.5,100.25,100.17,100,101.02,100.18,100.7
100.61,99.98,99.15,99.68,99.77,100.12,100.33,100.29,103.13,100.56,101.3,100.7,99.95,100.35,100.19,97.2,100.26,100.23,99.99,100.93,100.22,100.6
100.59,99.82,99.35,99.79,99.98,100.2,100.43,100.33,103.32,100.38,101.29,100.59,100.08,100.34,100.18,96.87,100.28,100.28,99.93,100.85,100.25,100.51
100.53,99.68,99.52,99.9,100.18,100.28,100.48,100.38,103.43,100.13,101.29,100.48,100.19,100.32,100.18,96.55,100.38,100.31,99.78,100.79,100.32,100.41
100.41,99.57,99.64,99.99,100.33,100.37,100.49,100.35,103.44,99.83,101.28,100.37,100.28,100.31,100.16,96.28,100.49,100.33,99.55,100.73,100.37,100.31
100.28,99.47,99.74,100.04,100.42,100.43,100.47,100.3,103.36,99.49,101.24,100.26,100.33,100.27,100.12,96.05,100.53,100.34,99.25,100.67,100.38,100.2
100.15,99.38,99.82,100.05,100.47,100.46,100.43,100.15,103.23,99.16,101.17,100.13,100.34,100.21,100.04,95.87,100.47,100.33,98.95,100.58,100.32,100.08
100.04,99.25,99.9,100.01,100.52,100.43,100.4,99.94,103.09,98.96,101.06,99.97,100.33,100.12,99.93,95.76,100.3,100.32,98.65,100.47,100.2,99.92
99.94,99.09,99.99,99.95,100.6,100.35,100.38,99.76,102.97,98.87,100.9,99.79,100.31,100.01,99.8,95.72,100.09,100.29,98.41,100.38,100.06,99.74
99.87,98.93,100.07,99.86,100.71,100.25,100.37,99.62,102.85,98.86,100.72,99.61,100.28,99.89,99.68,95.74,99.89,100.25,98.25,100.3,99.92,99.57
99.8,98.79,100.14,99.77,100.82,100.12,100.37,99.46,102.72,98.91,100.55,99.47,100.25,99.78,99.59,95.82,99.76,100.2,98.19,100.24,99.82,99.42
